idx,true_t+1,pred_t+1,true_t+2,pred_t+2,true_t+3,pred_t+3,true_t+4,pred_t+4,true_t+5,pred_t+5,true_t+6,pred_t+6
144,7.38,7.4039,7.05,6.59067,6.21,5.81292,6.33,5.05199,6.83,4.32498,7.23,3.7609
145,7.05,7.14502,6.21,6.36298,6.33,5.61426,6.83,4.92652,7.23,4.36013,6.9,4.00093
146,6.21,6.65165,6.33,5.7891,6.83,5.0431,7.23,4.49044,6.9,4.14396,7.06,4.00143
147,6.33,5.64858,6.83,4.7949,7.23,4.18275,6.9,3.84306,7.06,3.70746,7.4,3.71496
148,6.83,5.75189,7.23,5.12472,6.9,4.72131,7.06,4.53409,7.4,4.46614,7.45,4.46732
149,7.23,6.56808,6.9,6.18991,7.06,5.92431,7.4,5.76017,7.45,5.6276,7.21,5.56681
150,6.9,7.32131,7.06,7.0873,7.4,6.86179,7.45,6.65138,7.21,6.46603,7.49,6.42834
151,7.06,7.24954,7.4,6.97354,7.45,6.70594,7.21,6.50694,7.49,6.45063,7.59,6.71888
152,7.4,7.39876,7.45,7.16395,7.21,6.97576,7.49,6.94884,7.59,7.22121,8.58,7.95137
153,7.45,7.74565,7.21,7.61557,7.49,7.60744,7.59,7.90812,8.58,8.62432,8.98,9.81687
154,7.21,7.76859,7.49,7.74903,7.59,8.0226,8.58,8.75091,8.98,9.92804,10.24,11.4493
155,7.49,7.45937,7.59,7.66203,8.58,8.33162,8.98,9.52048,10.24,11.0418,11.62,12.584
156,7.59,7.88542,8.58,8.54884,8.98,9.70562,10.24,11.2274,11.62,12.7267,13.05,13.837
157,8.58,8.38554,8.98,9.57539,10.24,11.1161,11.62,12.6608,13.05,13.757,13.27,14.124
158,8.98,9.72257,10.24,11.2371,11.62,12.7982,13.05,13.9922,13.27,14.423,13.3,14.0659
159,10.24,10.3874,11.62,11.7348,13.05,12.8526,13.27,13.3816,13.3,13.1609,13.05,12.3852
160,11.62,11.5635,13.05,12.3457,13.27,12.6705,13.3,12.4278,13.05,11.6872,12.51,10.7392
161,13.05,12.5454,13.27,12.5189,13.3,12.0249,13.05,11.2093,12.51,10.2342,12,9.34689
162,13.27,13.4161,13.3,12.8854,13.05,11.9955,12.51,10.9795,12,9.9912,11.7,9.20067
163,13.3,13.6973,13.05,12.9171,12.51,11.9753,12,11.0644,11.7,10.2286,10.76,9.57073
164,13.05,13.5134,12.51,12.748,12,11.9341,11.7,11.1751,10.76,10.4676,10.73,9.89058
165,12.51,13.2088,12,12.5126,11.7,11.8283,10.76,11.2051,10.73,10.6042,10.61,10.0939
166,12,12.6117,11.7,11.9041,10.76,11.2679,10.73,10.7125,10.61,10.1828,10.26,9.76222
167,11.7,11.8472,10.76,11.1543,10.73,10.5706,10.61,10.0771,10.26,9.64667,10,9.34651
168,10.76,11.2521,10.73,10.6056,10.61,10.0934,10.26,9.71152,10,9.40964,9.88,9.21627
169,10.73,10.3678,10.61,9.79004,10.26,9.40585,10,9.17531,9.88,9.00736,9.39,8.9181
170,10.61,10.208,10.26,9.79376,10,9.5435,9.88,9.39866,9.39,9.279,9.43,9.22101
171,10.26,10.141,10,9.81187,9.88,9.62299,9.39,9.51949,9.43,9.4332,9.18,9.40941
172,10,9.8416,9.88,9.54389,9.39,9.39625,9.43,9.33679,9.18,9.29041,8.84,9.30262
173,9.88,9.65016,9.39,9.38815,9.43,9.27376,9.18,9.25152,8.84,9.2464,8.74,9.31743
174,9.39,9.70545,9.43,9.55556,9.18,9.51338,8.84,9.52883,8.74,9.55964,8.61,9.69856
175,9.43,9.29767,9.18,9.18335,8.84,9.183,8.74,9.25868,8.61,9.39411,8.51,9.70894
176,9.18,9.32462,8.84,9.27981,8.74,9.35437,8.61,9.53681,8.51,9.83776,8.31,10.3703
177,8.84,9.21709,8.74,9.28018,8.61,9.49248,8.51,9.86909,8.31,10.4065,8.78,11.1553
178,8.74,9.05966,8.61,9.25436,8.51,9.66855,8.31,10.2918,8.78,11.049,9.48,11.9405
179,8.61,9.07728,8.51,9.45882,8.31,10.1027,8.78,10.9354,9.48,11.8275,10.45,12.7168
180,8.51,9.13683,8.31,9.78458,8.78,10.6916,9.48,11.7093,10.45,12.6217,11.73,13.344
181,8.31,9.2736,8.78,10.1159,9.48,11.1824,10.45,12.2438,11.73,13.0384,12.52,13.4919
182,8.78,9.31209,9.48,10.2917,10.45,11.4023,11.73,12.3756,12.52,12.9532,11.97,13.1359
183,9.48,9.96206,10.45,10.8959,11.73,11.8183,12.52,12.5022,11.97,12.7719,12.19,12.6992
184,10.45,10.7599,11.73,11.5411,12.52,12.1768,11.97,12.5328,12.19,12.5191,12.2,12.254
185,11.73,11.6339,12.52,12.1376,11.97,12.4436,12.19,12.5147,12.2,12.3042,11.22,11.9454
186,12.52,12.8695,11.97,13.224,12.19,13.3195,12.2,13.1812,11.22,12.8149,11.28,12.3632
187,11.97,13.5552,12.19,13.671,12.2,13.5538,11.22,13.2658,11.28,12.8201,10.84,12.3377
188,12.19,13.162,12.2,12.9846,11.22,12.7106,11.28,12.3841,10.84,11.9688,9.86,11.5545
189,12.2,12.8634,11.22,12.5882,11.28,12.2618,10.84,11.9064,9.86,11.4932,8.65,11.0891
190,11.22,12.6565,11.28,12.3864,10.84,12.0832,9.86,11.7658,8.65,11.3637,7.71,10.9372
191,11.28,11.8152,10.84,11.4657,9.86,11.16,8.65,10.8604,7.71,10.4723,6.96,10.0856
192,10.84,11.4366,9.86,11.112,8.65,10.8043,7.71,10.4675,6.96,10.079,6.17,9.74073
193,9.86,11.0043,8.65,10.5998,7.71,10.2399,6.96,9.9275,6.17,9.62234,5.3,9.37789
194,8.65,9.90838,7.71,9.38967,6.96,9.02925,6.17,8.79496,5.3,8.5935,4.65,8.4693
195,7.71,8.41303,6.96,7.88662,6.17,7.58473,5.3,7.43458,4.65,7.3454,4.25,7.32993
196,6.96,7.33633,6.17,6.89591,5.3,6.69934,4.65,6.66765,4.25,6.67644,2.86,6.7333
197,6.17,6.64899,5.3,6.33671,4.65,6.2527,4.25,6.30373,2.86,6.36135,2.53,6.46693
198,5.3,5.96095,4.65,5.77296,4.25,5.76541,2.86,5.84513,2.53,5.93191,2.07,6.11783
199,4.65,5.16428,4.25,5.0053,2.86,5.03783,2.53,5.19241,2.07,5.41648,2.31,5.79972
200,4.25,4.59888,2.86,4.53761,2.53,4.67792,2.07,4.97923,2.31,5.39434,3.77,6.01682
201,2.86,4.23144,2.53,4.31419,2.07,4.62285,2.31,5.12367,3.77,5.77002,6.77,6.6137
202,2.53,3.09614,2.07,3.23065,2.31,3.68807,3.77,4.41701,6.77,5.30786,9.75,6.34028
203,2.07,2.93886,2.31,3.28794,3.77,3.99221,6.77,4.94992,9.75,5.99902,12.37,7.07768
204,2.31,2.86496,3.77,3.53774,6.77,4.54184,9.75,5.71681,12.37,6.84372,13.83,7.84312
205,3.77,3.3687,6.77,4.33773,9.75,5.53858,12.37,6.76364,13.83,7.77881,14.83,8.56519
206,6.77,5.02736,9.75,6.21846,12.37,7.47144,13.83,8.58551,14.83,9.39902,14.98,9.9278
207,9.75,8.4588,12.37,9.81389,13.83,10.9719,14.83,11.8475,14.98,12.3425,13.25,12.5595
208,12.37,11.7384,13.83,13.0487,14.83,13.9783,14.98,14.5134,13.25,14.6545,11.11,14.5133
209,13.83,14.14,14.83,15.1251,14.98,15.6693,13.25,15.8341,11.11,15.6273,9.5,15.1262
210,14.83,15.4928,14.98,16.0021,13.25,16.1948,11.11,16.1154,9.5,15.6776,8.58,14.9471
211,14.98,16.2351,13.25,16.4434,11.11,16.3675,9.5,15.9737,8.58,15.2092,7.87,14.1709
212,13.25,16.1435,11.11,15.9288,9.5,15.4879,8.58,14.8146,7.87,13.8238,7.21,12.6288
213,11.11,14.8618,9.5,14.2474,8.58,13.5277,7.87,12.6698,7.21,11.587,6.55,10.415
214,9.5,12.4328,8.58,11.6265,7.87,10.7687,7.21,9.82167,6.55,8.77105,5.96,7.77997
215,8.58,9.89741,7.87,8.84429,7.21,7.83807,6.55,6.8929,5.96,6.0187,5.28,5.32191
216,7.87,8.36176,7.21,7.28551,6.55,6.33464,5.96,5.54096,5.28,4.88731,4.29,4.42628
217,7.21,7.41149,6.55,6.42137,5.96,5.61162,5.28,4.99389,4.29,4.52501,2.79,4.2268
218,6.55,6.65592,5.96,5.80582,5.28,5.1625,4.29,4.71127,2.79,4.39879,2.17,4.22464
219,5.96,6.01449,5.28,5.28825,4.29,4.77818,2.79,4.46064,2.17,4.2687,1.86,4.18638
220,5.28,5.51362,4.29,4.88707,2.79,4.47368,2.17,4.24446,1.86,4.12625,1.52,4.1384
221,4.29,4.93097,2.79,4.41702,2.17,4.10171,1.86,3.95178,1.52,3.91836,1.14,4.07698
222,2.79,4.04788,2.17,3.61819,1.86,3.37874,1.52,3.30886,1.14,3.42137,1.1,3.85666
223,2.17,2.4715,1.86,2.09042,1.52,1.97641,1.14,2.1394,1.1,2.6216,1.3,3.54161
224,1.86,1.83162,1.52,1.59572,1.14,1.69081,1.1,2.18662,1.3,3.11611,3.33,4.53186
225,1.52,1.76595,1.14,1.82785,1.1,2.29239,1.3,3.23771,3.33,4.64968,5.07,6.46965
226,1.14,1.79561,1.1,2.19127,1.3,3.09766,3.33,4.53205,5.07,6.36151,8.3,8.39204
227,1.1,2.04082,1.3,2.92875,3.33,4.38181,5.07,6.27092,8.3,8.29272,9.91,10.1768
228,1.3,2.56907,3.33,3.97352,5.07,5.87249,8.3,7.96096,9.91,9.84119,12.08,11.2232
229,3.33,3.10451,5.07,4.82996,8.3,6.90079,9.91,8.90928,12.08,10.398,12.96,11.1826
230,5.07,5.10133,8.3,6.97326,9.91,8.87116,12.08,10.3874,12.96,11.2006,13.19,11.3003
231,8.3,7.23631,9.91,8.93572,12.08,10.338,12.96,11.1778,13.19,11.3093,11.81,10.8542
232,9.91,10.3675,12.08,11.6317,12.96,12.3503,13.19,12.4757,11.81,12.0175,10.09,11.1851
233,12.08,12.2167,12.96,12.98,13.19,13.1047,11.81,12.69,10.09,11.8622,8.83,10.8708
234,12.96,13.7387,13.19,13.9814,11.81,13.5833,10.09,12.7594,8.83,11.6964,8.23,10.6357
235,13.19,14.2526,11.81,13.9213,10.09,13.1446,8.83,12.1556,8.23,11.0725,7.82,10.05
236,11.81,14.1338,10.09,13.4575,8.83,12.5363,8.23,11.5393,7.82,10.4932,7.2,9.49191
237,10.09,13.0518,8.83,12.2059,8.23,11.2774,7.82,10.3553,7.2,9.40492,6.72,8.47743
238,8.83,11.1426,8.23,10.2696,7.82,9.40449,7.2,8.56872,6.72,7.70566,6.06,6.87837
239,8.23,9.26141,7.82,8.38463,7.2,7.57283,6.72,6.8046,6.06,6.03699,5.48,5.34181
240,7.82,8.24752,7.2,7.42658,6.72,6.66595,6.06,5.95866,5.48,5.28302,4.8,4.71664
241,7.2,7.7425,6.72,6.95679,6.06,6.24343,5.48,5.60765,4.8,5.04496,4.27,4.61944
242,6.72,7.07113,6.06,6.26947,5.48,5.57311,4.8,5.00896,4.27,4.58016,3.08,4.32114
243,6.06,6.46833,5.48,5.66404,4.8,5.01996,4.27,4.56876,3.08,4.2927,2.99,4.19184
244,5.48,5.69887,4.8,4.95913,4.27,4.43891,3.08,4.15708,2.99,4.04728,2.45,4.08863
245,4.8,5.11837,4.27,4.50616,3.08,4.12588,2.99,3.97236,2.45,3.96453,3.11,4.12701
246,4.27,4.53164,3.08,4.09613,2.99,3.86807,2.45,3.82575,3.11,3.93822,3.64,4.27333
247,3.08,4.05913,2.99,3.73224,2.45,3.60009,3.11,3.68643,3.64,3.99074,4.11,4.61115
